OID_,dest_lon,dest_lat,origin_lon,origin_lat,GIS_ID
3127,-73.91651806999998,42.81997773,-72.605400453,42.376239033,3127
988,-72.68278784,41.75384063,-72.967189321,42.293923206,988
1701,-74.21249992,40.70932005,-72.58532499999998,42.15852,1701
